업소명,업종,업태,도로명주소
강남칼국수,일반음식점,한식,강원특별자치도 강릉시 단오장길 20(노암동)
강남흑염소전문점,일반음식점,한식,강원특별자치도 강릉시 사천면 해안로 1121-133(1층)
강동분식,일반음식점,분식,강원특별자치도 강릉시 곶감전길 15(성남동)
강동식당,일반음식점,한식,강원특별자치도 강릉시 강동면 율곡로 2201(1층)
강릉 본가족발,일반음식점,한식,강원특별자치도 강릉시 하평1길 8(포남동)
강릉79막회,일반음식점,한식,강원특별자치도 강릉시 해안로 292(7호 강문동)
강릉가마솥설렁탕,일반음식점,한식,강원특별자치도 강릉시 사천면 동해대로 3566
강릉가마솥설렁탕1호점,일반음식점,한식,강원특별자치도 강릉시 율곡로 2482(1층 청량동)
강릉게스트하우스중앙점,일반음식점,한식,강원특별자치도 강릉시 경강로2103번길 17(임당동)
강릉곱창,일반음식점,한식,강원특별자치도 강릉시 경강로 2137(옥천동)
강릉국밥,일반음식점,한식,강원특별자치도 강릉시 율곡초교길 15(교동)
강릉김군박군횟집한치물회막국수점,일반음식점,한식,강원특별자치도 강릉시 난설헌로 203-18(1층 초당동)
강릉꼬막비빔밥풍호맛뜨락,일반음식점,한식,강원특별자치도 강릉시 임영로 10(1층 노암동)
강릉꼬막집독도네본점,일반음식점,한식,강원특별자치도 강릉시 옥천로 47(1층 옥천동)
강릉꼬막포차본점,일반음식점,한식,강원특별자치도 강릉시 옥천로 48(44호 옥천동)
강릉꽈배기&핫도그,일반음식점,분식,강원특별자치도 강릉시 하평3길 37(상가동 111호 포남동)
강릉낙곱새,일반음식점,한식,강원특별자치도 강릉시 옥천로 48(동부시장 1층 56호 옥천동)
강릉남매삼계탕,일반음식점,한식,강원특별자치도 강릉시 교동광장로 84(교동)
강릉낭만게장&백숙,일반음식점,한식,강원특별자치도 강릉시 초당원길 104(초당동)
강릉냉면일번지,일반음식점,한식,강원특별자치도 강릉시 옥가로50번길 26(옥천동)
강릉닭갈비,일반음식점,한식,강원특별자치도 강릉시 입암로 18(입암동)
강릉닭개장,일반음식점,한식,강원특별자치도 강릉시 경강로 2248(1층 포남동)
강릉대관령감자옹심이,일반음식점,한식,강원특별자치도 강릉시 하평길 6(포남동)
강릉댁,일반음식점,한식,강원특별자치도 강릉시 노가니길 10(노암동)
강릉댁아구찜,일반음식점,한식,강원특별자치도 강릉시 하평4길 22(1층 포남동)
강릉도야족발,일반음식점,한식,강원특별자치도 강릉시 경강로 2272(1층 포남동)
강릉두부마을,일반음식점,한식,강원특별자치도 강릉시 구정면 금평로 154-4(1층)
강릉뒷고기,일반음식점,한식,강원특별자치도 강릉시 강릉대로 441(포남동)
강릉떡볶이,일반음식점,분식,강원특별자치도 강릉시 금성로42번길 6(금학동)
강릉뚝배기,일반음식점,한식,강원특별자치도 강릉시 남부로 5(내곡동)
강릉뚝배기해장국,일반음식점,한식,강원특별자치도 강릉시 옥천로 57(옥천동)
강릉맛집,일반음식점,한식,강원특별자치도 강릉시 율곡로 2789(1층 성남동)
강릉명가,일반음식점,한식,강원특별자치도 강릉시 경강로 1898-13(1층 홍제동)
강릉모카번,일반음식점,한식,강원특별자치도 강릉시 곶감전길 17(1층 성남동)
강릉밥선생,일반음식점,한식,강원특별자치도 강릉시 옥천로 72(옥천동)
강릉보리밥,일반음식점,한식,강원특별자치도 강릉시 사천면 진리항구길 19(2층)
강릉본가막국수,일반음식점,분식,강원특별자치도 강릉시 운정길 36(난곡동)
강릉불고기,일반음식점,한식,강원특별자치도 강릉시 강동면 풍호길 270
강릉불장어,일반음식점,한식,강원특별자치도 강릉시 해안로 280(1층 3호 강문동)
강릉불향쭈꾸미,일반음식점,한식,강원특별자치도 강릉시 율곡초교길11번길 21(교동)
강릉사임당술빵,일반음식점,분식,강원특별자치도 강릉시 금성로23번길 8(성남동)
강릉새우,일반음식점,한식,강원특별자치도 강릉시 경강로2115번길 3(임당동)
강릉순두부장칼국수,일반음식점,한식,강원특별자치도 강릉시 강릉대로313번길 20(1층 포남동)
강릉숯불생선구이,일반음식점,한식,강원특별자치도 강릉시 옥가로 29(옥천동)
강릉시니어클럽한송정밥상,일반음식점,분식,강원특별자치도 강릉시 강릉대로 448(강릉시립도서관 지하층 포남동)
강릉실비,일반음식점,한식,강원특별자치도 강릉시 정원로 77-10(1층 교동)
강릉아산의전식당,일반음식점,한식,강원특별자치도 강릉시 사천면 방동길 38
강릉아산죽스넥,일반음식점,한식,강원특별자치도 강릉시 사천면 방동길 38-1
강릉아산푸드코트,일반음식점,한식,강원특별자치도 강릉시 사천면 방동길 38-1
강릉양꼬치,일반음식점,한식,강원특별자치도 강릉시 옥천로19번길 32(옥천동)
강릉엄지네꼬막집.엄지네포장마차,일반음식점,분식,강원특별자치도 강릉시 경강로2255번길 21(포남동)
강릉엄지네꼬막집1호점,일반음식점,한식,강원특별자치도 강릉시 남구길30번길 22(1층 포남동)
강릉엄지네꼬막집2호점,일반음식점,한식,강원특별자치도 강릉시 경강로2255번길 25-2(1층 포남동)
강릉역옹막회산점,일반음식점,한식,강원특별자치도 강릉시 회산로 256(회산동)
강릉염전조개구이,일반음식점,한식,강원특별자치도 강릉시 경강로 2455(1층 송정동)
강릉오겹살,일반음식점,한식,강원특별자치도 강릉시 중기길 22(1층 포남동)
강릉오징어순대,일반음식점,분식,강원특별자치도 강릉시 중앙시장1길 17(성남동)
강릉옥,일반음식점,한식,강원특별자치도 강릉시 토성로 82(홍제동)
강릉옹막,일반음식점,한식,강원특별자치도 강릉시 강릉대로 455(1층 포남동)
강릉원주대학교생협학생식당,일반음식점,한식,강원특별자치도 강릉시 죽헌길 7(지변동)
강릉유환식당,일반음식점,한식,강원특별자치도 강릉시 강릉대로587번길 2(초당동)
강릉의료원장례식장식당,일반음식점,한식,강원특별자치도 강릉시 경강로 2007(지하동 1층 남문동)
강릉장칼국수,일반음식점,한식,강원특별자치도 강릉시 옥천로19번길 13(1층 옥천동)
강릉전복영양솥밥,일반음식점,한식,강원특별자치도 강릉시 초당순두부길55번길 38(2층 초당동)
강릉전복해물뚝배기,일반음식점,한식,강원특별자치도 강릉시 창해로 361-2(1층 강문동)
강릉전집,일반음식점,분식,강원특별자치도 강릉시 솔올로5번길 9(교동)
강릉정선달,일반음식점,한식,강원특별자치도 강릉시 가작로303번길 2(포남동)
강릉제진밥사무소,일반음식점,한식,강원특별자치도 강릉시 사천면 중앙서로 203
강릉조개빵,일반음식점,한식,강원특별자치도 강릉시 창해로 364(강문동)
강릉중앙분식,일반음식점,분식,강원특별자치도 강릉시 중앙시장1길 16-2(성남동)
강릉중앙상회,일반음식점,한식,강원특별자치도 강릉시 금성로23번길 4-7(1층 성남동)
강릉진주식당,일반음식점,한식,강원특별자치도 강릉시 지변길 4(지변동)
강릉집,일반음식점,한식,강원특별자치도 강릉시 중앙시장1길 9(1층 성남동)
강릉짬뽕순두부강릉본점,일반음식점,한식,강원특별자치도 강릉시 초당순두부길 116(강문동)
강릉참치,일반음식점,한식,강원특별자치도 강릉시 정원로 74-19(교동)
강릉청국장,일반음식점,한식,강원특별자치도 강릉시 초당순두부길55번길 14-5(초당동)
강릉초당두부전문점,일반음식점,한식,강원특별자치도 강릉시 운정길 143(운정동)
강릉초당두부정동진본점,일반음식점,한식,강원특별자치도 강릉시 강동면 헌화로 1003(차오름 1층)
강릉초당불향쭈꾸미,일반음식점,한식,강원특별자치도 강릉시 남부로 35(내곡동)
강릉초당콩감자탕,일반음식점,한식,강원특별자치도 강릉시 초당순두부길 3(초당동)
강릉코다리찜,일반음식점,한식,강원특별자치도 강릉시 하평3길 8-1(포남동)
강릉크로와상붕어빵,일반음식점,분식,강원특별자치도 강릉시 성덕포남로168번안길 15(1층 포남동)
강릉파스타아스따,일반음식점,한식,강원특별자치도 강릉시 남구길10번길 14(포남동)
강릉한식도시락뷔페,일반음식점,한식,강원특별자치도 강릉시 지변길 49(1층 지변동)
