업소명,업종,업태,도로명주소
더갈만,일반음식점,한식,강원특별자치도 강릉시 하평4길 27(포남동)
더굿캠프,일반음식점,한식,강원특별자치도 강릉시 강동면 원장봉길 67-17(1층)
더맛용궁식당,일반음식점,한식,강원특별자치도 강릉시 노암길42번길 24(노암한라상가동 1층 112호 노암동)
더족발보쌈강릉점,일반음식점,한식,강원특별자치도 강릉시 동부시장3길 18(강릉시산림조합 1층 옥천동)
더통큰한식뷔페,일반음식점,한식,강원특별자치도 강릉시 강동면 율곡로 1961(1층)
더팍스,일반음식점,한식,강원특별자치도 강릉시 토성로 190(옥천동)
더퍼니,일반음식점,한식,강원특별자치도 강릉시 해안로 633-7(2층 안현동)
더프롤로그필드,일반음식점,한식,강원특별자치도 강릉시 송정길33번길 21(송정동)
더하썸,일반음식점,분식,강원특별자치도 강릉시 강릉대로587번길 16(1층 초당동)
덕이식당,일반음식점,한식,강원특별자치도 강릉시 강동면 헌화로 1096-1
덮담,일반음식점,한식,"강원특별자치도 강릉시 선수촌로 13(상가동 105호 홍제동, 엘에이치미디어촌5단지)"
덮밥장사장 강릉점,일반음식점,한식,강원특별자치도 강릉시 선수촌로63번길 14-16(110호 홍제동)
덮친밥,일반음식점,한식,강원특별자치도 강릉시 옥가로58번길 26(1층 옥천동)
델타홀식당,일반음식점,한식,강원특별자치도 강릉시 창해로 259(1층 강문동)
도깨비식당,일반음식점,한식,강원특별자치도 강릉시 주문진읍 연주로 376-1(1층)
도담주물럭,일반음식점,한식,강원특별자치도 강릉시 금성로45번길 12(성남동)
도리식당,일반음식점,한식,강원특별자치도 강릉시 지변길 16(1층 지변동)
도스마스강릉원주대점,일반음식점,분식,강원특별자치도 강릉시 지변길24번길 1(지변동)
도야족발,일반음식점,한식,강원특별자치도 강릉시 하슬라로177번길 9(교동)
도야족발 주문진점,일반음식점,한식,강원특별자치도 강릉시 주문진읍 연주로 303(1층)
도쿄시장강릉교동점,일반음식점,한식,강원특별자치도 강릉시 하슬라로206번길 20-10(교동)
돈드림,일반음식점,한식,강원특별자치도 강릉시 남구길10번길 10(포남동)
돈마루솥뚜껑,일반음식점,한식,강원특별자치도 강릉시 강릉대로98번길 7(1층 홍제동)
돈현이네,일반음식점,한식,강원특별자치도 강릉시 주문진읍 해안로 1709(14동 102호)
돌다리식당,일반음식점,한식,강원특별자치도 강릉시 사천면 본동길 10
돌담호박요리전문점,일반음식점,한식,강원특별자치도 강릉시 사천면 동해대로 3722
돌집,일반음식점,한식,강원특별자치도 강릉시 구정면 구정중앙로 199(1층)
동국이네맛집,일반음식점,한식,강원특별자치도 강릉시 금성로11번길 5-2(1층 성남동)
동궁염소탕,일반음식점,한식,강원특별자치도 강릉시 강릉대로419번길 17(포남동)
동궁염소탕주문진점,일반음식점,한식,강원특별자치도 강릉시 주문진읍 중앙골목길 21
동궁염소탕중앙점,일반음식점,한식,강원특별자치도 강릉시 경강로2103번길 15(임당동)
동궁찜닭,일반음식점,한식,강원특별자치도 강릉시 율곡로 2814(1층 옥천동)
동그라미분식,일반음식점,분식,강원특별자치도 강릉시 옥천로 62(1층 옥천동)
동그린구내식당,일반음식점,한식,강원특별자치도 강릉시 강동면 단경로 114
동남식당,일반음식점,한식,강원특별자치도 강릉시 옥계면 현내시장길 71
동남장터국밥,일반음식점,분식,강원특별자치도 강릉시 옥계면 현내중길 1
동막골,일반음식점,한식,강원특별자치도 강릉시 금성로61번길 10-5(성남동)
동막막국수,일반음식점,한식,강원특별자치도 강릉시 안현로 400-10(1층 안현동)
동명골식당,일반음식점,한식,강원특별자치도 강릉시 구정면 궁골길 18
동백장어,일반음식점,한식,강원특별자치도 강릉시 선수촌로 79-27(홍제동)
동부감자옹심이,일반음식점,한식,"강원특별자치도 강릉시 옥천로 48(옥천동,동부시장 1층 92호)"
동부구내식당,일반음식점,한식,강원특별자치도 강릉시 유산로 60(유산동)
동산가든,일반음식점,한식,강원특별자치도 강릉시 성산면 구산길 1-3
동서남식당,일반음식점,한식,강원특별자치도 강릉시 남문길 6(남문동)
동성관,일반음식점,한식,강원특별자치도 강릉시 병산동 22
동아식당,일반음식점,한식,강원특별자치도 강릉시 토성로 192(옥천동)
동아찜질식당,일반음식점,한식,강원특별자치도 강릉시 경강로 2080(임당동)
동원해장국집,일반음식점,한식,강원특별자치도 강릉시 강릉대로 236(교동)
동인식당,일반음식점,한식,강원특별자치도 강릉시 옥계면 현내안길 137
동인장례식장,일반음식점,한식,강원특별자치도 강릉시 강릉대로419번길 42(포남동)
동일장칼국수,일반음식점,분식,강원특별자치도 강릉시 강변로534번길 61(입암동)
동일장칼국수내곡점,일반음식점,한식,강원특별자치도 강릉시 범일로 597(5호 내곡동)
동천아귀찜,일반음식점,한식,강원특별자치도 강릉시 남부로17번길 16(1층 내곡동)
동촌,일반음식점,한식,강원특별자치도 강릉시 회산로339번길 17(회산동)
동춘해물마을,일반음식점,한식,강원특별자치도 강릉시 강동면 헌화로 976-2
동해관,일반음식점,한식,강원특별자치도 강릉시 율곡로 3020(교동)
동해구내식당,일반음식점,한식,강원특별자치도 강릉시 강변로 632(입암동)
동해막국수교동택지점,일반음식점,분식,강원특별자치도 강릉시 정원로 74-15(교동)
동해바다진미,일반음식점,한식,강원특별자치도 강릉시 강동면 대동안길 1-17
동해밥상,일반음식점,한식,강원특별자치도 강릉시 임영로 21(노암동)
동해보리밥,일반음식점,한식,강원특별자치도 강릉시 주문진읍 연주로 293
동해식당,일반음식점,한식,강원특별자치도 강릉시 사천면 진리해변길 63
동해식당,일반음식점,한식,강원특별자치도 강릉시 옥계면 현내시장길 63-1
동해안곰치식당,일반음식점,한식,강원특별자치도 강릉시 주문진읍 주문북로 4-1(1층)
동해안홍게무한리필,일반음식점,한식,강원특별자치도 강릉시 주문진읍 해안로 1788(1층)
동해일미,일반음식점,한식,강원특별자치도 강릉시 경강로2024번길 29(명주동)
동화가든원조짬순,일반음식점,한식,강원특별자치도 강릉시 초당순두부길77번길 15(초당동)
돼랑이네,일반음식점,한식,강원특별자치도 강릉시 경포로 72-24(1층 교동)
돼지집,일반음식점,한식,"강원특별자치도 강릉시 옥천로 48(옥천동,동부시장1층 100호)"
두마리찜닭두찜강릉포남점,일반음식점,한식,강원특별자치도 강릉시 하평3길 16-1(1층 포남동)
두메산골,일반음식점,한식,강원특별자치도 강릉시 사임당로 133(108호 홍제동)
두메산골옥계체인점,일반음식점,한식,"강원특별자치도 강릉시 옥천로 48(옥천동,동부시장2층 249호)"
두부마을초당순두부,일반음식점,한식,강원특별자치도 강릉시 사임당로 131-1(2동 지하1층 105호 홍제동)
두찜강릉중앙점,일반음식점,한식,강원특별자치도 강릉시 토성로 128(용강동)
뒷골,일반음식점,한식,강원특별자치도 강릉시 사임당로61번길 18(홍제동)
뒷섬,일반음식점,한식,강원특별자치도 강릉시 정원로 73-16(교동)
듬뿍,일반음식점,한식,강원특별자치도 강릉시 강릉대로443번길 2(1층 포남동)
듬뿍,일반음식점,분식,강원특별자치도 강릉시 하평2길 6(청송상가동 105호 포남동)
등명맛집,일반음식점,한식,강원특별자치도 강릉시 강동면 율곡로 1378
등지,일반음식점,한식,강원특별자치도 강릉시 옥가로50번길 3(1층 3호 옥천동)
등촌샤브칼국수,일반음식점,분식,강원특별자치도 강릉시 율곡초교길39번길 28(교동)
등촌샤브칼국수포남점,일반음식점,한식,강원특별자치도 강릉시 성덕포남로213번길 12-6(103호 포남동)
디딜방아,일반음식점,한식,강원특별자치도 강릉시 칠성로 581(유산동)
따스한,일반음식점,한식,강원특별자치도 강릉시 강동면 원장봉길 67-1(1층)
딱밤식당,일반음식점,한식,강원특별자치도 강릉시 관솔길12번길 59(1층 회산동)
딸부자막국수,일반음식점,분식,강원특별자치도 강릉시 강동면 대동안길 17
땡삐식당,일반음식점,한식,강원특별자치도 강릉시 원대로 23(1층 교동)
땡초우동인포차,일반음식점,분식,강원특별자치도 강릉시 관대길 21(내곡동)
떡볶당강릉내곡점,일반음식점,분식,강원특별자치도 강릉시 관대길 32(1층 내곡동)
떡볶이는생각하지마세요,일반음식점,분식,강원특별자치도 강릉시 중앙시장1길 6(성남동)
떡볶이참잘하는집 떡참 강릉홍제점,일반음식점,분식,강원특별자치도 강릉시 하슬라로 18(109호 홍제동)
또래오래포남입암점,일반음식점,한식,강원특별자치도 강릉시 용지각길20번길 4(1층 포남동)
또바기,일반음식점,한식,강원특별자치도 강릉시 주문진읍 신리길 19-2(1층)
뚝섬,일반음식점,한식,강원특별자치도 강릉시 입암로91번길 42(입암동)
뚱땡이국밥,일반음식점,한식,강원특별자치도 강릉시 경강로 2491(송정동)
뚱이네분식,일반음식점,분식,강원특별자치도 강릉시 옥가로19번길 6(1층 옥천동)
뚱할머니순두부,일반음식점,한식,강원특별자치도 강릉시 난설헌로 142(포남동)
뜸들이다강릉역점,일반음식점,한식,강원특별자치도 강릉시 강릉대로 298(1층 옥천동)
띵이네한방능이삼계탕,일반음식점,한식,강원특별자치도 강릉시 보래미길 33(1층 포남동)
라라푸드 홍짬순,일반음식점,한식,강원특별자치도 강릉시 주문진읍 해안로 1815(1층)
라면먹고갈래 강릉골방,일반음식점,분식,강원특별자치도 강릉시 창해로 251(1층 강문동)
라온네돌판집,일반음식점,한식,강원특별자치도 강릉시 경강로2256번길 4(1층 포남동)
로타리식당,일반음식점,한식,강원특별자치도 강릉시 구정면 범일로 135
루사,일반음식점,한식,강원특별자치도 강릉시 연곡면 소금강길 471
리몽,일반음식점,한식,강원특별자치도 강릉시 운정길 63(선교장 운정동)
마들식당,일반음식점,한식,강원특별자치도 강릉시 경포로 489-6(1층 20호 안현동)
마산미나아구찜,일반음식점,한식,강원특별자치도 강릉시 남구길24번길 10(포남동)
마약한식찜&탕,일반음식점,한식,강원특별자치도 강릉시 강릉대로 304(지하1층 포남동)
마왕족발강릉입암점,일반음식점,한식,"강원특별자치도 강릉시 입암로 153(입암동,외 1필지6,7호)"
마운틴화덕피자,일반음식점,한식,강원특별자치도 강릉시 한밭골길 76-14(1층 대전동)
마차군분식양,일반음식점,분식,강원특별자치도 강릉시 강동면 정동역길 16
마카,일반음식점,한식,강원특별자치도 강릉시 초당원길 26-1(1층 초당동)
막걸리는전을사랑해,일반음식점,한식,강원특별자치도 강릉시 주문진읍 주문로 83(1층)
막창공장,일반음식점,한식,강원특별자치도 강릉시 성덕포남로188번길 9(포남동)
만고땡안목점,일반음식점,분식,강원특별자치도 강릉시 경강로 2668(1층 104호 견소동)
만나생선조림,일반음식점,한식,강원특별자치도 강릉시 옥천로 48(동부시장 1층 30호 옥천동)
만나옹심이손칼국수,일반음식점,분식,강원특별자치도 강릉시 임영로 54-1(노암동)
만남분식,일반음식점,분식,강원특별자치도 강릉시 옥계면 현내시장길 81
만동면옥,일반음식점,분식,강원특별자치도 강릉시 공항길43번길 8(병산동)
만두먹고,일반음식점,분식,강원특별자치도 강릉시 강변북길 21(옥천동)
만선감자옹심이,일반음식점,한식,강원특별자치도 강릉시 공항길 46(병산동)
만선식당,일반음식점,한식,강원특별자치도 강릉시 임영로 159(용강동)
만선포차,일반음식점,한식,강원특별자치도 강릉시 하슬라로206번길 12-7(교동)
만양맛값,일반음식점,한식,강원특별자치도 강릉시 남구길18번길 19(포남동)
만억정흑염소,일반음식점,한식,강원특별자치도 강릉시 솔올로 65(2층 교동)
만추,일반음식점,한식,강원특별자치도 강릉시 병산동 22 공군제18전투비행단
맘김밥,일반음식점,분식,강원특별자치도 강릉시 성덕포남로188번길 20(1층 포남동)
맛가득,일반음식점,한식,강원특별자치도 강릉시 해안로 501(안현동)
맛갈참죽,일반음식점,한식,"강원특별자치도 강릉시 선수촌로 64-3(108호 홍제동, 유천이스턴빌딩)"
맛나칼국수,일반음식점,분식,강원특별자치도 강릉시 중앙시장길 22(성남동)
맛드렁,일반음식점,한식,강원특별자치도 강릉시 주문진읍 신리제방2길 32-5(1층)
맛드린,일반음식점,한식,강원특별자치도 강릉시 죽헌길85번길 6(1층 지변동)
맛따라길따라,일반음식점,한식,강원특별자치도 강릉시 하슬라로 26(홍제동)
맛마루부대찌개,일반음식점,한식,강원특별자치도 강릉시 해안로 298-5(B동 강문동)
맛사랑장칼국수,일반음식점,한식,강원특별자치도 강릉시 산양큰길 42(1층 포남동)
맛애정,일반음식점,한식,강원특별자치도 강릉시 옥가로 64(옥천동)
맛있는세상,일반음식점,한식,강원특별자치도 강릉시 솔올로5번길 12-7(1층 교동)
맛있는엄마밥상,일반음식점,한식,강원특별자치도 강릉시 주문진읍 장성로 48
맛있는초밥집,일반음식점,한식,강원특별자치도 강릉시 정원로 77-4(1층 교동)
맛있는하루,일반음식점,한식,강원특별자치도 강릉시 주문진읍 시장길 54
맛있으리,일반음식점,한식,강원특별자치도 강릉시 강릉대로443번길 9-1(포남동)
맛있으리헬스케어주식회사,일반음식점,한식,강원특별자치도 강릉시 강릉대로443번길 9-1(포남동)
맛조이,일반음식점,한식,강원특별자치도 강릉시 경강로 2139(1층 3호 옥천동)
매염방,일반음식점,한식,강원특별자치도 강릉시 강변로 156(1층 내곡동)
매일국수,일반음식점,분식,강원특별자치도 강릉시 성덕포남로 188(포남동)
매콤이,일반음식점,분식,강원특별자치도 강릉시 강릉대로 98(홍제동)
매콤이본점,일반음식점,분식,강원특별자치도 강릉시 중기길 4(1층 포남동)
메기와우렁이,일반음식점,한식,강원특별자치도 강릉시 중앙시장2길 58(성남동)
메기촌식당,일반음식점,한식,강원특별자치도 강릉시 주문진읍 신리천로 362
메밀능이촌,일반음식점,한식,강원특별자치도 강릉시 화부산로 171(교동)
메밀애감자,일반음식점,분식,강원특별자치도 강릉시 연곡면 영진3길 6-2
메밀집,일반음식점,한식,강원특별자치도 강릉시 동부시장1길 14(옥천동)
메밀향기,일반음식점,한식,강원특별자치도 강릉시 연당길 102(1층 초당동)
메시56,일반음식점,한식,강원특별자치도 강릉시 초당순두부길 56(1층 초당동)
메이플비치식당,일반음식점,한식,강원특별자치도 강릉시 강동면 새목이길 110
메이플비치호텔,일반음식점,한식,강원특별자치도 강릉시 강동면 염전길 255
면면백백,일반음식점,분식,강원특별자치도 강릉시 신대학길 39(1층 금학동)
면사랑우동가,일반음식점,분식,강원특별자치도 강릉시 옥천로 30(옥천동)
명가네FOOD,일반음식점,한식,강원특별자치도 강릉시 강동면 율곡로 2036-2(1층)
명가네손칼국수,일반음식점,분식,강원특별자치도 강릉시 강릉대로210번길 18(임당동)
명가네참칼국수,일반음식점,한식,강원특별자치도 강릉시 경강로 2194(포남동)
명가찜전문점,일반음식점,한식,강원특별자치도 강릉시 가작로 193(1층 교동)
명경막국수,일반음식점,한식,강원특별자치도 강릉시 저동골길 5(1층 저동)
명랑시대쌀핫도그주문진점,일반음식점,분식,강원특별자치도 강릉시 주문진읍 해안로 1737(102호)
명문식당,일반음식점,한식,강원특별자치도 강릉시 노가니길 29-1(노암동)
명산숯불구이,일반음식점,한식,강원특별자치도 강릉시 성덕포남로168번안길 24-1(포남동)
명성부침,일반음식점,한식,강원특별자치도 강릉시 중앙시장길 26(성남동)
명성식당,일반음식점,한식,강원특별자치도 강릉시 금성로5번길 12-1(성남동)
명성오징어순대,일반음식점,한식,강원특별자치도 강릉시 중앙시장1길 17(성남동)
명성옥,일반음식점,한식,강원특별자치도 강릉시 노암등길 92(노암동)
명신식당,일반음식점,한식,강원특별자치도 강릉시 동부시장3길 29(옥천동)
명우밥상,일반음식점,한식,강원특별자치도 강릉시 성덕포남로168번길 7(1층 포남동)
명주뜰,일반음식점,한식,강원특별자치도 강릉시 주문진읍 신리천로 79(1층)
명진옥,일반음식점,한식,강원특별자치도 강릉시 강동면 안인일출길 28
명태어장&쭈갑골 교동택지점,일반음식점,한식,강원특별자치도 강릉시 가작로 19(교동)
명품닭발,일반음식점,한식,강원특별자치도 강릉시 남구길18번길 15(포남동)
명희네,일반음식점,한식,강원특별자치도 강릉시 옥계면 옥계로 1090-9
모두랑식당,일반음식점,한식,강원특별자치도 강릉시 경강로2115번길 3(임당동)
모두와우동,일반음식점,분식,강원특별자치도 강릉시 동부시장길 17(옥천동)
모래내메밀촌,일반음식점,한식,강원특별자치도 강릉시 사천면 덕실길 107(가동 1층)
모래시계식당,일반음식점,한식,강원특별자치도 강릉시 강동면 헌화로 1013
모래틈식당,일반음식점,한식,강원특별자치도 강릉시 임영로 156-1(1층 임당동)
모모분식센타,일반음식점,분식,강원특별자치도 강릉시 중앙시장3길 37-4(성남동)
목포횟집식당,일반음식점,한식,"강원특별자치도 강릉시 해안로 501(1층 2호,5호 안현동)"
몬우골,일반음식점,한식,강원특별자치도 강릉시 사천면 중앙서로 92-52(1층)
못난이맛집,일반음식점,분식,강원특별자치도 강릉시 홍제로71번길 18(1층 홍제동)
못잊어분식,일반음식점,분식,강원특별자치도 강릉시 옥천로62번길 17(1층 교동)
못잊어집,일반음식점,한식,강원특별자치도 강릉시 강변로 220(2층 내곡동)
몽실네밥집,일반음식점,한식,강원특별자치도 강릉시 토성로191번길 1(옥천동)
몽실이,일반음식점,분식,강원특별자치도 강릉시 보래미길 47(포남동)
몽유,일반음식점,한식,강원특별자치도 강릉시 경강로2018번길 35(1층 명주동)
묘정,일반음식점,한식,강원특별자치도 강릉시 토성로 148-1(임당동)
무국적식탁,일반음식점,한식,강원특별자치도 강릉시 선수촌로63번길 26-11(홍제동)
무진장돼지순대국밥,일반음식점,한식,강원특별자치도 강릉시 주문진읍 연주로 538
문푸드,일반음식점,한식,강원특별자치도 강릉시 임영로155번길 9-1(1층 용강동)
문화식당,일반음식점,한식,강원특별자치도 강릉시 토성로123번길 6(용강동)
문희식,일반음식점,한식,강원특별자치도 강릉시 옥천로 48(동부시장 1층 59호 옥천동)
물소리,일반음식점,한식,강원특별자치도 강릉시 홍제로 33(홍제동)
미가온만두찐빵,일반음식점,분식,강원특별자치도 강릉시 용지로 47(1층 입암동)
"미니마트,죽헌수지식당",일반음식점,한식,강원특별자치도 강릉시 유죽길 235(죽헌동)
미돈삼겹살,일반음식점,한식,강원특별자치도 강릉시 공항길 139(남항진동)
미래먹거리,일반음식점,분식,강원특별자치도 강릉시 노가니길 4-1(노암동)
미래식당,일반음식점,한식,강원특별자치도 강릉시 동부시장길 3(옥천동)
미림식당,일반음식점,한식,강원특별자치도 강릉시 주문진읍 항구3길 3
미림헌,일반음식점,한식,강원특별자치도 강릉시 남부로17번길 25(내곡동)
미면소,일반음식점,분식,강원특별자치도 강릉시 용지로 132(옥천동)
미미포차2호점,일반음식점,한식,강원특별자치도 강릉시 주문진읍 구시장길 8-13
미방,일반음식점,한식,강원특별자치도 강릉시 임영로 66-1(노암동)
미선이네,일반음식점,한식,강원특별자치도 강릉시 강동면 헌화로 663-1
미성실내마차,일반음식점,분식,강원특별자치도 강릉시 옥계면 현내중길 2(1층)
미송순두부,일반음식점,한식,강원특별자치도 강릉시 초당순두부길 104(강문동)
미스터쭈삼,일반음식점,한식,강원특별자치도 강릉시 정원로 84-6(101호 교동)
미스한우,일반음식점,한식,강원특별자치도 강릉시 연곡면 영진길 30
미식가,일반음식점,한식,강원특별자치도 강릉시 옥가로19번길 6(옥천동)
미자네 밥포차,일반음식점,한식,강원특별자치도 강릉시 강변로534번길 22(1층 입암동)
미향식당,일반음식점,한식,강원특별자치도 강릉시 성산면 구산길 65
미화식당,일반음식점,한식,강원특별자치도 강릉시 주문진읍 구시장길 8-11
민들레,일반음식점,한식,강원특별자치도 강릉시 금성로5번길 9(성남동)
민쉐프의푸드스토리,일반음식점,한식,강원특별자치도 강릉시 경강로 2195(1층 옥천동)
민이반찬푸드,일반음식점,한식,강원특별자치도 강릉시 남부로17번길 25(1층 내곡동)
민지네,일반음식점,한식,강원특별자치도 강릉시 임영로116번길 2(1층 성내동)
믿음식당,일반음식점,한식,강원특별자치도 강릉시 연곡면 진고개로 2721
바깥강릉,일반음식점,한식,강원특별자치도 강릉시 하슬라로206번길 20-3(교동)
바다굴모듬찜,일반음식점,한식,강원특별자치도 강릉시 하평5길 42(포남동)
바다를담다,일반음식점,한식,강원특별자치도 강릉시 강동면 헌화로 1025(2~3층)
바다사랑,일반음식점,한식,강원특별자치도 강릉시 공항길127번길 66(남항진동)
바다식당,일반음식점,한식,강원특별자치도 강릉시 주문진읍 주문로 112
바다양푼이동태탕,일반음식점,한식,강원특별자치도 강릉시 주문진읍 해안로 1760(1760-1)
바다양푼이동태탕강릉교동점,일반음식점,한식,강원특별자치도 강릉시 경포로 29-4(지변동)
바다풍경,일반음식점,한식,강원특별자치도 강릉시 중앙시장3길 7(성남동)
바다향기가,일반음식점,한식,강원특별자치도 강릉시 강동면 헌화로 641(지하 1층)
바다향기가,일반음식점,한식,강원특별자치도 강릉시 강동면 헌화로 641
바닮참치&연어,일반음식점,한식,강원특별자치도 강릉시 남부로17번길 35(1층 101호 내곡동)
바랄희,일반음식점,한식,강원특별자치도 강릉시 사천면 해안로 904-4(1층)
바른농산,일반음식점,한식,강원특별자치도 강릉시 성산면 삼포암길 48(1층)
바삭이네,일반음식점,분식,강원특별자치도 강릉시 금성로13번길 9-2(1층 성남동)
박대감화로구이,일반음식점,한식,강원특별자치도 강릉시 하슬라로 184(교동)
반구정참숯민물장어,일반음식점,한식,강원특별자치도 강릉시 명륜로121번길 10(포남동)
반반,일반음식점,분식,강원특별자치도 강릉시 하평2길 6(1층 104호 포남동)
반상먹거리,일반음식점,한식,강원특별자치도 강릉시 노암길42번길 17(노암동)
반주,일반음식점,한식,강원특별자치도 강릉시 남산초교길 20(지하1층 내곡동)
반주,일반음식점,한식,강원특별자치도 강릉시 남산초교길 18(2층 내곡동)
반찬가게,일반음식점,한식,강원특별자치도 강릉시 산양큰길 34(103호 포남동)
반찬에 반하다,일반음식점,한식,강원특별자치도 강릉시 선수촌로63번길 18-5(1층 홍제동)
반찬플러스,일반음식점,한식,강원특별자치도 강릉시 용지로 27(입암동)
밤하늘포차,일반음식점,한식,강원특별자치도 강릉시 옥천로 73(교동)
밥&술,일반음식점,한식,강원특별자치도 강릉시 초당원길 15(1층 초당동)
밥먹고술먹고,일반음식점,한식,강원특별자치도 강릉시 범일로579번길 6(내곡동)
밥먹는마을,일반음식점,한식,강원특별자치도 강릉시 송정길2번길 7(송정동)
밥이나한잔해,일반음식점,한식,강원특별자치도 강릉시 연곡면 진고개로 2717-1(2층)
밥잘하는누나,일반음식점,한식,강원특별자치도 강릉시 강변로114번길 3(1층 내곡동)
밥톨,일반음식점,분식,강원특별자치도 강릉시 관대길29번길 29-8(내곡동)
밥풀릭스,일반음식점,한식,강원특별자치도 강릉시 옥천로61번길 12(1층 옥천동)
밥한그릇,일반음식점,한식,강원특별자치도 강릉시 성덕포남로174번길 18(1층 포남동)
방가네해장국,일반음식점,한식,강원특별자치도 강릉시 입암로 153(1층 B호 입암동)
방일해장국,일반음식점,한식,강원특별자치도 강릉시 강릉대로 296(1층 옥천동)
방학골추어탕,일반음식점,한식,강원특별자치도 강릉시 주문진읍 주문북로 132
배니닭강정2호,일반음식점,분식,강원특별자치도 강릉시 금성로 21(중앙시장 1층 187호 성남동)
배다리막국수,일반음식점,분식,강원특별자치도 강릉시 난곡길 12(난곡동)
배달식당,일반음식점,한식,강원특별자치도 강릉시 경강로 2210(포남동)
배떡,일반음식점,분식,강원특별자치도 강릉시 선수촌로63번길 18-15(2층 203호 홍제동)
배불뚝이,일반음식점,분식,강원특별자치도 강릉시 보래미길 33(1층 포남동)
백년칼국수,일반음식점,분식,강원특별자치도 강릉시 성덕로 316-11(106호 입암동)
백반집,일반음식점,한식,강원특별자치도 강릉시 동부시장1길 6(1층 옥천동)
백사장,일반음식점,분식,강원특별자치도 강릉시 경강로2343번길 8(포남동)
백세식단강릉지점,일반음식점,한식,강원특별자치도 강릉시 난설헌로78번길 51(지하1층 포남동)
백암순대국,일반음식점,한식,강원특별자치도 강릉시 강동면 율곡로 2359-5
백암왕순대,일반음식점,한식,강원특별자치도 강릉시 남부로 90(A동 101-102호 노암동)
백억다찌,일반음식점,한식,강원특별자치도 강릉시 옥천로 31(1층 옥천동)
백제삼계탕,일반음식점,한식,강원특별자치도 강릉시 토성로164번길 11(임당동)
버거웍스,일반음식점,한식,강원특별자치도 강릉시 창해로14번길 12(견소동)
버당말민속촌,일반음식점,한식,강원특별자치도 강릉시 성산면 칠봉로 40
벌집,일반음식점,분식,강원특별자치도 강릉시 경강로2069번길 15(임당동)
법원구내식당,일반음식점,한식,강원특별자치도 강릉시 동해대로 3288-18(난곡동)
베란다살롱,일반음식점,분식,강원특별자치도 강릉시 원대로 111(교동)
별내리는 산북,일반음식점,한식,강원특별자치도 강릉시 성산면 자포골길 7-1
별들의고향,일반음식점,한식,강원특별자치도 강릉시 중기3길 6-1(옥천동)
별미순대국전문점,일반음식점,한식,강원특별자치도 강릉시 주문진읍 신리제방1길 11-1(1층)
별미식당,일반음식점,한식,강원특별자치도 강릉시 주문진읍 항구윗길 9-1(1층)
별미정,일반음식점,한식,강원특별자치도 강릉시 명륜로 116-5(포남동)
별미해물찜,일반음식점,한식,강원특별자치도 강릉시 율곡로 2885(교동)
별빛포차,일반음식점,한식,강원특별자치도 강릉시 수문길19번길 22-3(1층 옥천동)
별이네,일반음식점,한식,강원특별자치도 강릉시 성덕포남로174번길 18(포남동)
병산감자옹심이,일반음식점,한식,강원특별자치도 강릉시 공항길43번길 1(병산동)
병산닭발과부침개,일반음식점,한식,강원특별자치도 강릉시 성덕포남로174번길 45(포남동)
병천순대내곡점,일반음식점,한식,강원특별자치도 강릉시 관대길36번길 2(1층 내곡동)
병천순대모래내,일반음식점,한식,강원특별자치도 강릉시 사천면 덕실길 4
병천황토방순대,일반음식점,한식,강원특별자치도 강릉시 하슬라로206번길 11-13(교동)
병천황토방순대초당점,일반음식점,한식,강원특별자치도 강릉시 초당원길54번길 18(초당동)
보광가든,일반음식점,한식,강원특별자치도 강릉시 성산면 성연로 133
보글이식당,일반음식점,한식,강원특별자치도 강릉시 경강로2246번길 3(포남동)
보래미즉석추어탕,일반음식점,한식,강원특별자치도 강릉시 보래미길 36(포남동)
보리향기,일반음식점,한식,강원특별자치도 강릉시 성산면 구산길 39(102호)
보배골,일반음식점,한식,강원특별자치도 강릉시 강변로 260-8(노암동)
보쌈천하,일반음식점,한식,강원특별자치도 강릉시 하평길 4(포남동)
보영이네해물칼국수,일반음식점,분식,강원특별자치도 강릉시 율곡초교길43번길 25(교동)
보현가든,일반음식점,한식,강원특별자치도 강릉시 성산면 성연로 67(지하1층)
복뚱이식당,일반음식점,한식,강원특별자치도 강릉시 주문진읍 주문로 13
복마니찐빵집,일반음식점,분식,강원특별자치도 강릉시 율곡로 3145(죽헌동)
복순네,일반음식점,한식,강원특별자치도 강릉시 옥천로 71(옥천동)
복순네식당,일반음식점,한식,강원특별자치도 강릉시 중앙시장2길 53(1층 성남동)
복실이식당,일반음식점,한식,강원특별자치도 강릉시 옥천로 48(1층 121호 옥천동)
복짬,일반음식점,한식,강원특별자치도 강릉시 강릉대로419번길 21(포남동)
복촌식당,일반음식점,한식,강원특별자치도 강릉시 옥천로 70(옥천동)
본가동해막국수,일반음식점,분식,강원특별자치도 강릉시 연곡면 성안길 47-3
본가마산아구찜,일반음식점,한식,강원특별자치도 강릉시 경강로2245번길 14(포남동)
본도시락강릉교동점,일반음식점,한식,강원특별자치도 강릉시 율곡초교길47번길 23(1층 102호 교동)
본래순대,일반음식점,한식,강원특별자치도 강릉시 가작로 20(교동)
본스치킨더샵점,일반음식점,한식,"강원특별자치도 강릉시 율곡로2692번길 14(108호 입암동, 더샵상가)"
본전집,일반음식점,한식,"강원특별자치도 강릉시 선수촌로 79-19(1층 104,105호 홍제동)"
본전해물전문,일반음식점,한식,강원특별자치도 강릉시 옥가로19번길 10(옥천동)
